Very good,Male
"Exelent he really care about you, he is very professional,  and , compassionate.  Thanks Dr A ‘ dbojeri.",Male
Dr. A-Rahim was very knowledgeable about my long term condition and spent a great deal of time explaining my treatment plan to me and my husband.,Male
"Horrible physician treats you like a kid. Pts c/o in er is never addressed by this md , she dances around anything you come in for. You will be told call your internal medicine dr because nothing is wrong, horrible bedside manners and argues with basic pt care ",Female
Dr Aaberg has been a very good dr for my husband  Very kind and answers all your questions ,Male
"Dr. Aaberg has been treating my macular degeneration for five years. I could not ask for a better, smarter, professional doctor. I highly recommend him and his outstanding staff.  They all care about me as a person and as a patient.",Male
I am privileged to have Dr Aaberg in charge of my eye care.,Male
"I have been seeing Dr. Aaberg for a number of years now.  He excels as a physician and diagnostician.  He is conservative in his approach, which I value and truly appreciate.  

He has always taken as much time as I needed to explain complications and procedures.  He truly is a compassionate partner with you in the care of your precious eyesight and is outstanding in his field.",Male
I've been a patient of Dr. Aaberg for over 2 years. He not only cares about my eye health but always asks about my over all health at my appointment. My eye health has improved greatly under his care.,Male
Dr. Asberg Jr is absolutely the best retinal specialist.   I was afraid of my macular degeneration and having to get shots in my left eye.  He put me at ease and I am no longer fearful.,Male
Doctor was very kind and h helped me to understand everything.,Male
DR. Aaberg is extremely thorough and makes a point to explain all that was/was not discovered during the exam. I will definitely recommend him to anyone needing a retina specialist. ,Male
Dr Aaberg is a very caring person. He comes in to your appointment with the necessary knowledge of your health condition. He explains all the necessary information to you down to a patient's level. He always makes sure all your questions are answered at the end of your appointment.,Male
Always congenial.  Let's me know what's going on with my eyes.  Genuine and caring treatment from Dr.Aaberg and the entire staff.,Male
"I feel SO fortunate to have Dr. Aaberg as my retinal specialist.   My spontaneous retinal detachment turned out to be a very challenging situation, and Dr. Aaberg has been awesome to work with!   He is professional yet compassionate, and obviously knows his specialty inside and out.   I would recommend him to everyone, especially to those I care about!!!    Thank you for my eye back, Dr. Aaberg!!",Male
"Took me in for an appointment immediately when I had an eye stroke and was very compassionate and explained it all very clearly.  Great personality and very professional.  Great staff, also.",Male
"I was referred to Dr Aaberg because I was diagnosed with a retinal pucker.
Boy, was I ever fortunate!  He is a brilliant eye surgeon with awesome bedside manner.  Made me feel totally confident in his ability to help me!",Male
"I was referred to Dr. Aaberg in 2012 for problems in the back of both of my eyes.  He is an excellent doctor who really cares about his patients, something I find pretty rare in this day and age!",Male
"Dr Aaberg diagnosed my ocular melanoma. When I was referred to him they got me in quickly.
 Dr Aaberg spent until after 8pm in his office talking with my family and me. He was courteous, compassionate and was willing to spend as much time as we needed to get our questions answered.
 He talked about treatment options explaining in detail the reason he recommended plaque radiation therapy.",Male
"I've been going to Dr. Aaby since I was a kid. I have a severe astigmatism and I need prism for my lenses. He gets it on the dot every time. For people without difficult eyes getting glasses isn't a problem.. For me, it's very complicated... I didn't know how complicated it was til I couldn't afford the cost of going to him and the glasses... Down on my luck I tried other places.. They proceeded to screw up my glasses many times. 
          If you have a difficult prescription I recommend staying with Dr. Aaby.. He will definitely get it right for you.",Male
"Referred by our Peditrican (who is exceptional) for an evaluation. My son has a known medical problem with his eyes. Dr. Aaby was unprofessional, dismissive, and did not explain his exam results, other than  providing a stronger prescription. I still dont know what my sons vision is, which we need for his IEP. HORRIBLE experience. we will never go there again. 
 (the office staff was great, Dr. Abby should take note and learn from them) ",Male
Dr Aaby is very thorough and explains everything in words I can understand. ,Male
"Very caring. Extremely knowledgeable, he explained everything both before and after. He called the day of surgery to make sure everything was okay. ",Male
Would not recommend. My child went undiagnosed with an eye condition any layman could spot. It was a traumatic first appointment and we felt like he was just annoyed with my child crying and rushed us out the door insisting nothing was wrong. Gave him a 2nd chance and went back again and still he said it was nothing abnormal. Ended up going elsewhere and we got a diagnosis and a treatment plan.,Male
"Most friendly and profession facility! Other health places I have used I have waited up to over an hour past my appointment time to even be called back. Lincoln Surgical waved me back right on my appointment time. Dr. Aach listened to everything I needed to discuss. Physician and staff all were very friendly, prompt and professional. Highly recommend!",Male
My experience with Dr Aach is excellent. I'm being treated for a thyroid problem and he has my complete trust. He is straightforward and caring. Dr Aach is very easy to talk to. ,Male
"Dr. Aach performed my wife's gall bladder removal a few years ago.  He is a skilled surgeon, and the surgery went well, but he is bed side manner is horrible.  He seemed annoyed to have to operate on a patient that is overweight.  He made several rude comments about it over the course of her care.  A surgeon is more than just his skill, he is also a caregiver, and should act accordingly.",Male
"His clinic stopped prescribing medication mid 2018.  He was a good doctor who subcommed to DEA pressures.  So unfortunate that pain doctors, let alone medi-cal pain doctors, are increasingly hard to find for patients who really need legitimate pain management.",Male
BS,Male
"I love dr Aachi he maybe a busy dr but he knows his patients and knows their needs . He really understood my pain and suffering better any dr I’ve seen!!!!
",Male
Horrible scheduling and receptionist. There is NO WAY to contact this clinic other than leaving voice mails on his numerous google voice accounts; which is down right showing ZERO compassion towards the patients!!,Male
"Worst Doctor I have ever had the misfortune of encountering. Never spent more than 5 minutes with me, and during that 5 minutes he was on the phone being rude to other patients. A real dirt bag.",Male
"Dr. Aachi seems like a very busy-body but do not worry. He is DEFINITELY paying attention to every word you say. 

I very much appreciate that he not only listens but understands my concerns. He is helping me achieve my goal it took my previous doctor 2 years to barely embrace. I am post-chemo and in constant pain however I do no want to end up dependent on pain meds, so the 1st visit he already came up with a plan for me to live a healthy and uncompromising life. Thank you, Dr. Aachi!",Male
"I just Love Dr Aachi!! He is wonderful as my pain management Doctor! He is using Acupunture to help with my severe low back pain (compression fractures/Osteoporosis). He is helping me get off the strong pain killers. I have been a longtime patient of another doctor who only just kept prescribing higher doses of very strong medications! Never offered anything like Acupunture, it's so wonderful!!! It gives my pain a way out of my body! Not just masking the pain thru the fog of heavy narcotics!!! ",Male
Dr. Aachi really listens to me and really trys to help me.,Male
"Dr. Aadalen repaired my left rotator cuff before Tria was established.  He seened caring and sincere.  Two years later at newly created Tria, he repaired my right rotator cuff.  I returned a few months later with issues. After long waits (including him chatting up nurses outside my exam room) he seemed indifferent to my problems and said if I had any more issues don't return - call his assistant.  Difference? I had private insurance for first surgery and Medicare for second.  Money talks...",Male
I went to Dr. Aadalen for both my ACL/MCL tear and my torn labrum. Both surgeries have far exceeding my expectations in recovery time and mobility.  There are additional repairs I would like completed on my other shoulder and knee and will definitely be returning to Dr. Aadalen. ,Male
"Dr Aadalen repaired my torn rotator cuff in 2013. He did am amazing job! Throughout, he made sure I understood what needed to happen for the procedure to be a success. I regained full range of motion, full strength and have had no problems since. Tria was fast, efficient and patient focused",Male
Not helpful - said my middle finger on my right hand was fractured - told him I was in pain - said I'd just have to deal with it - really? $250 for that?!,Male
"Thank goodness I found Dr. Adam, I have Achalasia and no Dr. in my area knew anything about it. He is a lifesaver.",Male
"I am extremely fortunate to have had Dr. Abdul Aadom perform non invasive ERM  to remove a very large polyp on the right side, ascending wall of my colon in lieu of surgical removal of a part of my colon.      I am a 73 year old woman who was warned of risk due to the location and size of the colon.    Because of Dr. Aadam's skill there were no negative side effects.    I am so relieved and thankful to have Dr. Aadam as my doctor and also to be guided by his nurses, Nancy and Eileen.    Also, Dr. Aadam associates were not only professional but reassuring in their professionalism and caring.   I would highly recommend Dr. Aadam.    I am so appreciative.",Male
"When a gastro at another hospital recommended I have my colon removed, I can't tell you how relieved I was to find the voice of reason and compassion in Dr. Aadam. He put me at ease, which wasn't a simple thing considering how upset I was. He was patient with me and answered all my questions (and there were a lot). I didn't need to have my colon removed, no thanks to the other gastro. I trust Dr. Aadam implicitly and appreciate his kind care and expertise. He and Linda Feldman are a great team!",Male
Really explaines things and gives you time to ask questions. Very caring,Male
